
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Electrons/Jun11/SingleEle-Run2012B-13Jul2012_nominal.root 1
total events =  3426 , cuts: trigSigEle_path==1 && lepEt > 30 && eMVA > 0.90 && lepIso <0.1 && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*   560594 *    195552 *      1524 * 1.696e+09 *
*   560744 *    195948 *       436 * 675362537 *
*   564110 *    194912 *       735 * 1.150e+09 *
*   564878 *    194912 *       811 * 1.244e+09 *
*   570426 *    194912 *      1111 * 1.576e+09 *
*   571611 *    194704 *       501 * 457157135 *
*   573551 *    194789 *        15 *  20273965 *
*   575708 *    195915 *       596 * 883782162 *
*   577114 *    194480 *       628 * 571293314 *
*   578355 *    194912 *      1308 * 1.763e+09 *
*   581098 *    195163 *       103 *  91577894 *
*   583730 *    196453 *       233 * 219664948 *
*   585158 *    194480 *       805 * 726520399 *
*   585831 *    194912 *       891 * 1.338e+09 *
*   591109 *    195774 *       813 * 1.187e+09 *
*   591348 *    196027 *       139 * 211863459 *
*   593831 *    194480 *       842 * 757184922 *
*   594365 *    194480 *       883 * 791790887 *
*   599092 *    194480 *       802 * 723270806 *
*   599693 *    194480 *       909 * 812918435 *
*   600478 *    194912 *       690 * 1.092e+09 *
*   600940 *    194912 *      1037 * 1.499e+09 *
*   612032 *    195530 *       160 * 248537648 *
*   612348 *    195397 *       353 * 525935114 *
*   615860 *    194480 *      1308 * 1.118e+09 *
*   617115 *    195552 *      1330 * 1.507e+09 *
*   624452 *    195303 *       322 * 398991600 *
*   625061 *    195303 *       121 *  45713124 *
*   625428 *    195303 *       130 *  63878129 *
*   628257 *    194825 *       100 *  70508959 *
*   630822 *    196334 *       116 * 138176802 *
*   631285 *    194480 *      1352 * 1.148e+09 *
*   634645 *    195948 *       461 * 706790961 *
*   635479 *    194533 *        71 *  66545445 *
*   635677 *    194533 *        72 *  67608333 *
*   643514 *    194778 *       100 *  97549619 *
*   644849 *    194711 *        32 *  29622542 *
*   654409 *    196438 *       152 * 130005979 *
