Run Event #
193621 555811818 620
193621 564567002 630
193621 665763531 758
190645 31963785 47
191271 141271376 149
191830 575510990 381
191834 278142919 232
191090 29993323 31
191226 772504488 551
191247 954825227 729
193575 59585067 99
190738 64793680 71
190738 80934173 87
190738 144702449 156
190738 278750087 307
191247 586794002 416
191720 53260192 53
193575 139299951 185
193575 380076517 494
191226 498583715 358
191834 209742617 173
191062 343859240 317
190705 380915064 296
193336 41377350 51
191830 86253600 90
193336 150482834 193
191830 267051065 189
191062 47848579 44
191247 313227977 211
191810 128212808 80
191856 3630774 8
191856 4357216 8
191856 78264520 93
191856 86449956 102
191856 103073501 122
191226 1896157053 1607
191367 60242 2
190738 309755607 344
191226 1482772078 1162
193207 57188879 128
193207 78615245 162
191271 83073442 105
191271 84323340 106
191271 83917711 106
191720 150402102 170
193621 197708898 221
191718 75213553 72
191062 467969934 444
191062 486411309 463
191277 258979285 263
191202 31734754 22
191226 346053121 260
191226 347256727 261
191226 36935146 82
191718 61598540 63
193336 666039199 931
191830 140934075 118
193334 23317345 48
191226 536021599 383
191226 1782120150 1477
191226 1905499226 1618
191226 1940056117 1659
191837 7598388 11
191837 7380126 11
191837 34734889 37
191247 18591013 16
191247 146298792 94
191264 51077925 76
193621 270626310 294
193621 271934756 295
191247 393954495 269
191833 89684324 70
191833 133422800 103
191247 541943066 380
191277 213359771 214
191277 440445499 469
191277 511381209 566
191277 595059452 674
191277 611019949 695
191718 125327902 106
191277 293964911 301
191277 294949427 302
191277 526668803 585
191277 593913877 673
191718 218101179 176
191834 300293279 251
191834 300640474 252
191834 308252405 258
193336 301363877 416
193621 66953972 101
193621 105457869 135
191247 1082464716 851
191721 1746801 6
191721 5531743 11
193621 836251398 995
193621 846273667 1010
193621 753678226 877
193621 767727868 897
193621 912240501 1109
193621 935961694 1146
193621 956149867 1177
193621 619490987 699
193621 886980187 1071
190645 31665511 46
191046 273183422 202
191834 226362273 187
191834 345328918 292
191834 346517641 293
191834 346822655 293
191271 67620156 94
191271 104928769 121
191226 861914491 619
191837 32686745 35
191837 33614008 36
191247 971717905 745
191248 14323548 20
191264 199227410 183
190738 89711279 97
191226 185507114 164
190705 213077613 176
190705 360211117 281
190705 423389345 328
191062 369555977 342
191062 375029475 348
191062 510587651 489
191062 54463233 49
191226 244459588 199
191226 244202623 199
191830 324829348 222
191830 323373677 221
193334 90435297 119
191247 704598590 511
191202 8463018 9
191062 16121184 17
191062 36717582 34
191062 80138097 71
191247 448744286 309
191856 26968372 33
191856 101190266 120
190738 3973454 8
191837 47354475 49
191226 106263854 120
191226 201476157 174
191830 138097581 117
191057 56192152 51
191271 33635706 70
191834 41405757 36
191834 43431483 37
193336 513680921 728
193336 586122057 822
191226 160088478 150
191277 342627366 355
191277 454355107 486
191277 557188482 624
191277 573638483 646
191277 612806808 698
191830 285541165 199
191834 31433530 28
191226 323912472 247
191226 599118638 427
191226 567218326 405
191226 1388466915 1071
191226 1742195142 1432
191837 10677843 14
191226 992484124 726
191226 1263505359 956
191226 1267004044 959
191247 85051436 55
191226 1485948011 1165
191247 162278791 104
191247 189999209 127
193556 46608631 74
191810 120829875 76
191247 185265218 124
191247 186077682 124
191247 1051273040 821
191720 62760677 62
191721 84928195 125
191720 71308065 74
193575 357531249 463
193575 433481832 569
193575 503319946 671
191834 389095979 332
193541 334018547 524
193541 379897619 601
191834 150955391 124
191834 239228961 198
191834 392972700 335
193336 490024563 698
193575 167060888 220
193575 296886578 382
193575 348824377 451
193575 376645767 489
193621 1121771098 1452
193621 1200860141 1594
193621 1202657033 1597
193621 1207556034 1606
193621 1207345201 1606
191247 1009676326 781
191247 1193401451 961
191247 1203430567 972
191247 1242492069 1012
193621 203002176 226
191247 1251392305 1021
191247 1327993649 1103
191247 1380106932 1161
193621 85794236 118
193621 228949021 252
193621 296590301 320
193621 705953430 812
193621 743785762 863
193621 752826035 876
193621 898767935 1088
193621 911533311 1108
191046 284192200 211
193334 49846843 75
193336 94929809 119
191226 581583818 414
191226 702159933 499
191271 35200751 72
190738 177998123 192
190738 91722156 99
191226 1144937878 852
191226 1144868921 852
190738 271128426 298
191247 594083543 422
191264 103190672 112
190705 4688807 10
191062 522383161 502
190705 92670929 94
190705 155561632 136
191046 73145399 59
191277 313271424 322
191277 360893871 376
190705 47656759 50
190705 240236238 195
190705 407670321 316
190705 458493398 355
191046 171883850 126
191271 107128972 123
191271 136949016 145
191830 260452056 185
191247 941574661 717
191276 9463364 13
191276 11406704 14
191201 47399129 48
191856 8627374 13
191833 87110412 68
191226 1276087304 967
191046 148092971 109
191046 148304708 110
191830 237601550 172
191202 182865898 109
193336 170264398 221
191834 55862790 47
191277 92793212 92
191277 94125214 93
191277 238058413 240
191277 286049700 292
191277 562324956 631
191247 1337002820 1113
191247 1408683925 1193
191226 96905573 114
193336 47219434 58
193336 50130417 62
191726 3065576 8
191830 385352588 258
191271 102373135 119
191271 122146115 134
191226 1793752345 1490
191226 1955899223 1678
191277 13092794 16
193541 207433987 333
191226 1415002249 1096
191226 1523265233 1203
191226 1638768143 1321
191226 1959706310 1683
191247 559974769 395
191833 61099532 49
191247 1245081758 1015
191247 1246250369 1016
193621 69897123 104
193621 150840725 177
191830 591469845 392
191277 505313873 558
191277 506226071 559
191277 583590546 659
193575 219522496 284
193575 426423431 559
193575 427134563 560
191830 263552230 187
193334 94844409 124
191834 283165168 236
191834 384185393 327
191834 407291116 349
191834 407332890 349
193336 642692897 899
193541 151681423 256
193336 453980803 653
193541 163361579 272
193541 319889449 501
193575 227981552 295
193575 516360647 691
193621 1021891033 1283
193621 1163679845 1526
193621 1164390363 1528
193621 1206148290 1603
193621 1210067611 1611
191859 83204396 109
193575 551992307 745
193621 148584960 175
193621 623247418 704
193621 302952285 327
193621 326772329 352
191226 240698174 197
191226 293186175 228
191226 282748751 222
191226 282500056 222
191271 94969783 114
191046 317383463 236
191046 317507990 236
191226 1061757526 782
191247 374784210 255
190738 83403191 90
190738 168668704 182
190738 169436930 183
190738 70356581 76
190738 124466235 134
190738 106410738 114
191226 1127200279 837
191226 1128937207 838
191247 847503092 633
190705 152449831 134
190705 266724225 213
190705 373778585 291
191226 376274617 279
191226 376860664 280
191830 234858913 170
191247 872814569 655
193575 153948302 204
193575 173514223 227
191202 157923298 94
193336 499689825 710
191856 51396911 61
191046 4554890 7
191226 80881974 106
193207 45495225 109
193207 77562066 160
193336 226003561 301
193336 321208328 448
191062 3379361 7
193207 12907897 60
193336 417710398 609
193336 511895281 726
193336 211792916 280
193336 211861810 280
193336 337071615 474
191277 251848723 255
191718 70849896 69
193207 17871169 67
191226 1459287873 1139
191226 1516790583 1196
191226 756371716 539
191226 831927484 596
191830 353409746 239
191247 299468004 201
191247 370385641 252
193557 64468522 68
193557 74243824 78
191248 28714985 37
191264 78402616 95
193575 10521935 49
193575 11525043 50
191247 1100736958 869
191721 84800235 124
191277 456767996 489
191277 531303240 591
191830 282913394 198
191834 168079668 138
191830 400569010 268
191830 404157028 270
191830 404352388 270
191830 504228963 333
191830 505259727 334
191830 564401745 373
191830 565204336 374
191834 229017363 189
191834 272532564 227
191834 187512254 154
193541 329729069 517
193336 595265371 835
193336 595312650 835
193541 59437724 138
193541 105760886 196
193575 251550673 324
193575 437886556 575
193575 495866722 660
191247 1312795223 1087
193621 194717821 218
193621 195071149 219
193621 524657986 582
191830 194016080 147
191830 339743329 231
191226 168120340 154
191830 288888819 201
193124 26534618 49
194199 70467182 126
194199 347837880 364
194314 138454560 119
194314 237000225 176
194314 303407926 218
194314 303195426 218
194314 305785216 219
194314 390284229 275
194315 535655165 445
194315 549196630 458
194428 105521002 97
194428 118240494 109
194644 99661662 92
194150 210009287 173
194150 323623948 261
194150 235806224 193
194150 243579656 198
194150 256350619 208
