#  RunNo   LumiNo          EvtNo 
 201816      154      175168423 
 199021     1192     1342206562 
 201824       26       22778205 
 201824      250      218231267 
 201824      410      345677208 
 199318       68       36131783 
 202045      222      259144989 
 202054       35       30637045 
 202054       81       70133489 
 202054      539      424876432 
 202054      581      453844921 
 199319        2        3013437 
 202054      438      352449432 
 202060      260      319241937 
 202060      374      477952606 
 202060      547      686901759 
 202060      814      979835044 
 202074       79       49462105 
 199319       58       95115745 
 202074      117      119847440 
 202075      307      436237719 
 202075      326      459004580 
 202075      332      466555519 
 202087      327      426316185 
 202178      875     1041418920 
 202178      832      995524637 
 202209      120      183141978 
 202237      343      533735545 
 202237      797     1109792447 
 202237      718     1021301402 
 202272      647      745638253 
 202272      834      953262829 
 202272      979     1085913488 
 202299      285      393816211 
 202299      364      510520629 
 202299      367      514317865 
 202299      429      600005944 
 202299      467      650831245 
 202305      258      237322653 
 202314      120      117802963 
 202314      238      335489076 
 202328      168      229703141 
 202328      393      587433432 
 202328      497      731987109 
 202389      173      193624437 
 202469      174      198080271 
 202472       68       97329198 
 202478      681      732132351 
 202478      688      738725480 
 202504      513      680789909 
 202504     1136     1343380108 
 202504     1398     1575396270 
 202504     1561     1705823694 
 202972      143      208337903 
 202972      136      198643218 
 202973      154      170139722 
 202973     1353     1146478097 
 202973     1189     1025053349 
 203002       81       58948951 
 203002      708      903108405 
 203002      867     1082598477 
 199356      112       54269997 
 199356      205      208467827 
 199409      498      619847350 
 198941      118      104317995 
 199428      244      308034317 
 199428      500      604104186 
 199435       94       69423475 
 199571      520      539313293 
 199571      399      425522660 
 199574       21       15652809 
 198955     1374     1393599310 
 199608      205      234535151 
 199608      571      669970804 
 199608      665      776369957 
 199608      669      781486309 
 199608      991     1122258435 
 199608     1243     1356025916 
 199608     2020     1946558820 
 198955      711      810666338 
 199699      280      344537793 
 199699      205      260692371 
 199699      558      653319844 
 199699      622      721891145 
 199752      235      289630055 
 199754       94      107216137 
 199754       95      108519350 
 199754      855      814817185 
 199804      551      632486550 
 199812      109       87093458 
 199812      341      406483198 
 199812      612      710821094 
 199833       17       22272494 
 199833      168      209677374 
 199833     1234     1285981354 
 199833      462      536127271 
 199833     1150     1217918584 
 199833     1063     1143725240 
 199867      314      337886550 
 199875      109      106896957 
 199875      252      322320669 
 199877        5        5488987 
 199877      120      134843124 
 199877      287      308774772 
 199877      569      573435513 
 199961      153      163136566 
 199961      222      239259405 
 198969     1249     1407023483 
 200041       88       59528008 
 200041      782      936302044 
 200042      185      158139889 
 200049        4        2466277 
 198969      747      894955199 
 200075      339      403201414 
 200091      371      455218487 
 200091      705      835587298 
 200091     1029     1192322690 
 200091     1367     1509378456 
 200152      108       83016048 
 200229        8        7706205 
 200229       58       52810857 
 200229      265      291726889 
 200244      127      198975072 
 200245      162      184481532 
 200369      310      346536414 
 206102      287      415813421 
 206187      609      892055029 
 206391       35       38608514 
 204599      329      499616841 
 206207      331      495228914 
 206207      677      958620355 
 203987       14       17520066 
 206446      506      732266444 
 206208      190      202972797 
 206208      400      434570973 
 206208      408      443027038 
 206208      436      473472770 
 206210      189      178922177 
 206448       18       18821951 
 206448      238      240972337 
 206448      351      346109742 
 206448      428      415268838 
 206448     1058      902998039 
 206243      289      449877638 
 206243      339      529940414 
 206466      245      439682391 
 203987      421      493990376 
 206246      277      282117574 
 206246     1177      979149043 
 203987      176      215421049 
 206304        6        5626136 
 206484      291      409560738 
 203987      416      488869318 
 206389      165      181875855 
 203987      665      756489381 
 206446      471      685660193 
 206446      710      987610366 
 206596      224      256263700 
 206596      256      289276490 
 206596      497      554254010 
 206596      430      480885440 
 206596      437      488028459 
 206596      510      567673735 
 206744      210      297490001 
 206745     1034     1065806428 
 206745      680      739566656 
 206745      718      777400555 
 206745      579      635558024 
 206859      256      368894329 
 206859      509      767443835 
 206866      156      164899921 
 206869      650      602069857 
 206869      691      633707387 
 206897       40       65965111 
 206906       98      120289218 
 206940      533      653978600 
 206940      303      400114000 
 206940      630      758582125 
 207099      450      655993795 
 207100       24       24948202 
 207214      463      718975710 
 207214      624      925923526 
 207231      645      948439454 
 207231     1091     1449717463 
 207269      228      294964164 
 207269      238      310775759 
 206940      268      356940672 
 207273      658      720901599 
 207279      246      358239010 
 207099      271      382018283 
 207099      282      400566872 
 204114      275      297000772 
 207454      659      964042775 
 207454     1253     1622815432 
 207454     1420     1790817754 
 204577      473      592750587 
 207477      282      443310670 
 207477      473      745800382 
 207488       59       78164928 
 207488      227      284324617 
 207515      355      559761972 
 207515      331      519649090 
 204577     1012     1164350316 
 207515      754     1124604263 
 207515     1113     1523519523 
 207515     1165     1582261776 
 207884       77      120397249 
 207889      541      562187064 
 207889      910      871395191 
 204250      389      523606301 
 204250      404      543918807 
 207905      131      134118230 
 204250      583      764734669 
 204250      586      767620333 
 207905      490      711311069 
 204250      715      909784937 
 207905      809     1097984130 
 207905     1771     2037804172 
 207920      373      565534940 
 207920      812     1130126612 
 207920      711     1014654581 
 207924      286      274520358 
 208307      274      427886898 
 208307      532      747684298 
 208307      559      777599555 
 208307      566      785011022 
 208307      966     1240676434 
 208307     1132     1407747839 
 208307     1167     1441610290 
 208339      179      223712185 
