
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012C-24Aug2012_nominal.root 1
total events =  256 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*    34931 *    190782 *       317 * 396293060 *
*    35150 *    190782 *       352 * 440688895 *
*    36013 *    190895 *       522 * 557091774 *
*    38086 *    190906 *       299 * 306140475 *
*    38368 *    190906 *       373 * 387460563 *
*    39002 *    190895 *       160 * 160436844 *
*    39407 *    190895 *       229 * 238690815 *
*    41126 *    190906 *       398 * 415415175 *
*    42547 *    190906 *       331 * 343215530 *
*    44005 *    190782 *       231 * 280293066 *
*    44683 *    190782 *       301 * 374267536 *
*    49334 *    190895 *       578 * 611440190 *
*    49668 *    190906 *       149 * 123005348 *
*    50909 *    190906 *       288 * 293222543 *
*    54949 *    190906 *       195 * 181875435 *
************************************************
==> 46 selected entries
/Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012D-PromptReco-v1_nominal.root 1
total events =  4208 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
************************************************
*     1684 *    206187 *       378 * 559303585 *
*     2052 *    206187 *       382 * 566736142 *
*     2975 *    203853 *       129 *  70536097 *
*     3030 *    203853 *       131 *  72872873 *
*     3074 *    203853 *       131 *  72200196 *
*     3971 *    203894 *       354 * 398033662 *
*     6445 *    205826 *       101 *  90567274 *
*     6769 *    203894 *       325 * 365685395 *
*     7346 *    203987 *       879 * 960209728 *
*     8040 *    203987 *       905 * 983853782 *
*    10858 *    204250 *       186 * 215869653 *
*    13066 *    204599 *       323 * 489807754 *
*    15629 *    204541 *        35 *  59764633 *
*    15655 *    204541 *        35 *  58690817 *
*    16008 *    204541 *        43 *  73747629 *
*    17121 *    204576 *       190 * 285138223 *
*    17178 *    204576 *       196 * 296142075 *
*    17413 *    206187 *       282 * 398121537 *
*    17442 *    206187 *       282 * 398491127 *
*    18037 *    206187 *       289 * 410178213 *
*    21514 *    204576 *       173 * 256376061 *
*    24290 *    205666 *       340 * 534829216 *
*    27076 *    205921 *        38 *  61052625 *
*    29427 *    205233 *       104 *  60785135 *
*    30028 *    205233 *       102 *  58345249 *
*    30564 *    205233 *       106 *  65192750 *
*    31548 *    205233 *       125 *  96656771 *
*    33563 *    206446 *       147 * 154927056 *
*    33922 *    206446 *       197 * 250906764 *
*    34158 *    206446 *       177 * 214292827 *
*    34313 *    206446 *       179 * 217732692 *
*    34325 *    206446 *       179 * 217167754 *
*    34983 *    205233 *       126 *  97919857 *
*    35128 *    205233 *       150 * 137123946 *
*    35905 *    205233 *       132 * 108405574 *
*    38230 *    206207 *       253 * 368932335 *
*    38251 *    206207 *       253 * 367566036 *
*    38459 *    206207 *       255 * 371786530 *
*    38872 *    206207 *       268 * 392858602 *
*    39539 *    205310 *       100 *  88260985 *
*    42203 *    206208 *       164 * 177194364 *
*    42746 *    206302 *        39 *  62184690 *
*    46478 *    206477 *        19 *  28398056 *
*    50923 *    206187 *       335 * 489739052 *
*    51120 *    206187 *       342 * 501139101 *
*    51250 *    206187 *       343 * 502454554 *
*    52080 *    206187 *       347 * 509870986 *
*    54691 *    206512 *       119 *  97311609 *
*    55330 *    206512 *       124 * 107095786 *
*    59776 *    206066 *       140 * 134408064 *
*    60343 *    206088 *       203 * 268373033 *
*    61682 *    206088 *       214 * 287177459 *
*    63761 *    205683 *       164 * 196059625 *
*    64548 *    205690 *        17 *  21388438 *
*    70334 *    205833 *       151 * 181544436 *
*    73232 *    206102 *       104 *  92643056 *
*    74184 *    206102 *       101 *  86599706 *
*    75652 *    205921 *        76 * 126374472 *
*    77079 *    205921 *       330 * 505453338 *
*    77537 *    205921 *       218 * 345275120 *
*    79851 *    206102 *       151 * 184340007 *
*    80949 *    206102 *       160 * 200127679 *
*    85727 *    206187 *       192 * 230145499 *
*    87884 *    206187 *       265 * 367368739 *
*    93109 *    206476 *       195 * 252160245 *
*    94113 *    206476 *       207 * 272005869 *
*    94890 *    206573 *        11 *  20862092 *
*    97185 *    208686 *        79 *  61336742 *
*    97455 *    208686 *        81 *  63628934 *
*    97793 *    208686 *        84 *  69729117 *
*    98618 *    208357 *       204 * 214856607 *
*   100744 *    208357 *       411 * 424568754 *
*   101998 *    208427 *       135 * 204911568 *
*   105829 *    208551 *       140 * 182053644 *
*   108102 *    206859 *        80 *  39588970 *
*   108332 *    206859 *        86 *  51797960 *
*   110029 *    208307 *      1223 * 1.492e+09 *
*   112718 *    207515 *        82 *  62518605 *
*   113364 *    208391 *       446 * 607746339 *
*   113847 *    208487 *       516 * 775493849 *
*   114245 *    208487 *       547 * 812252788 *
*   114417 *    206859 *        92 *  62786404 *
*   115332 *    206859 *       169 * 208215943 *
*   116408 *    207454 *      1012 * 1.356e+09 *
*   119431 *    208307 *       522 * 736242125 *
*   119476 *    208307 *       523 * 737056806 *
*   119566 *    208307 *       524 * 738151918 *
*   119989 *    206940 *       590 * 711787895 *
*   120517 *    206859 *       105 *  88326608 *
*   122392 *    207905 *       617 * 876646701 *
*   122899 *    206859 *       562 * 840265694 *
*   124270 *    206859 *       122 * 119716539 *
*   126038 *    208341 *       479 * 544461951 *
*   126507 *    208341 *       531 * 602169204 *
*   126682 *    208341 *       535 * 606493812 *
*   126959 *    208391 *       231 * 337534378 *
*   127921 *    206859 *       142 * 157348419 *
*   128022 *    206859 *       143 * 158663063 *
*   128044 *    206859 *       143 * 160076741 *
*   128878 *    208391 *        64 *  96693944 *
*   129226 *    208391 *        48 *  70244342 *
*   129236 *    208391 *        48 *  70391034 *
*   130166 *    207231 *       865 * 1.202e+09 *
*   130276 *    207231 *       868 * 1.206e+09 *
*   130582 *    206859 *       410 * 622403692 *
*   132429 *    208307 *       456 * 659563979 *
*   133931 *    208487 *       542 * 806296150 *
*   134627 *    206859 *       138 * 150862053 *
*   134933 *    206859 *       140 * 153800135 *
*   136886 *    207515 *       208 * 297916976 *
*   139480 *    206869 *        69 *  72826659 *
*   141582 *    206859 *       158 * 187362891 *
*   145364 *    206859 *       163 * 195432794 *
*   145980 *    206859 *       205 * 275709081 *
*   146995 *    208551 *       480 * 763954568 *
*   154956 *    207279 *       882 * 1.157e+09 *
*   155143 *    207279 *       885 * 1.159e+09 *
*   155363 *    207518 *        28 *  28044315 *
*   157758 *    207920 *       313 * 471343682 *
*   157832 *    207920 *       318 * 479276008 *
*   157957 *    206940 *        58 *  82555226 *
*   159003 *    207273 *       663 * 725802173 *
*   161588 *    207905 *       883 * 1.175e+09 *
*   163333 *    207492 *        41 *  34289494 *
*   163361 *    207492 *        43 *  36119321 *
*   164299 *    206859 *       200 * 266874816 *
*   165915 *    207477 *       118 * 141387063 *
*   165944 *    207477 *       118 * 139963754 *
*   167052 *    206859 *       212 * 289743763 *
*   167912 *    208341 *        65 *  83291147 *
*   169720 *    206859 *       219 * 302838903 *
*   170069 *    206859 *       222 * 307155141 *
*   171037 *    208341 *       176 * 211370925 *
*   171450 *    208341 *       241 * 285294486 *
*   173846 *    207220 *         9 *   9703077 *
*   173987 *    207220 *        14 *  14928310 *
*   176315 *    207905 *       742 * 1.023e+09 *
*   176613 *    207905 *       749 * 1.031e+09 *
*   177198 *    206859 *       234 * 328689635 *
*   178576 *    208307 *       199 * 320648048 *
*   178777 *    208307 *       206 * 330262290 *
*   179727 *    208351 *       247 * 340003594 *
*   180142 *    208351 *       249 * 343571691 *
*   180518 *    208353 *       198 * 244204068 *
*   182401 *    208391 *       309 * 440017284 *
*   183189 *    206859 *       274 * 400032728 *
*   185173 *    207454 *        81 *  67303493 *
*   186008 *    207454 *       117 * 134032443 *
*   186810 *    206859 *       275 * 403021518 *
*   190157 *    208391 *       208 * 306806294 *
*   191487 *    206859 *       304 * 452823568 *
*   192208 *    207905 *       204 * 269371585 *
*   192307 *    207905 *       210 * 280897919 *
*   192430 *    207905 *       235 * 324077963 *
*   193064 *    206859 *       289 * 427151941 *
*   193570 *    207231 *       257 * 379277595 *
*   195882 *    207488 *        98 * 127979614 *
*   197625 *    206859 *       341 * 513501287 *
*   198329 *    207372 *         6 *   8716382 *
*   198341 *    207372 *         6 *   8845132 *
*   199371 *    207515 *      1044 * 1.446e+09 *
*   201019 *    207487 *        53 *  54855006 *
*   201078 *    207487 *        54 *  57198700 *
*   201897 *    206859 *       412 * 626172270 *
*   202435 *    206859 *       406 * 617041196 *
*   202565 *    207099 *       105 *  84544616 *
*   203777 *    207454 *        91 *  87549769 *
